epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4928.07,0.96592,0.81215,1.18083,0.90911,0.79694,0.87285,0.61134,1.02824,0.67374,1.04935,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5079.58,0.94972,0.79429,1.16982,0.90975,0.79651,0.87439,0.61007,1.03154,0.67811,1.05075,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5233.09,0.95269,0.79305,1.16852,0.91997,0.7946,0.87768,0.61377,1.02832,0.6678,1.04627,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5388.29,0.945,0.78406,1.16738,0.91896,0.79745,0.87627,0.6144,1.02686,0.65988,1.04569,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5541.56,0.93629,0.77655,1.16136,0.91197,0.80776,0.87776,0.61422,1.0252,0.66134,1.04343,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5690.57,0.93125,0.76876,1.16004,0.91783,0.8057,0.87868,0.61711,1.01644,0.66127,1.04417,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5840.47,0.9239,0.76486,1.15317,0.91978,0.81054,0.87919,0.61951,1.00947,0.6551,1.04137,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5990.5,0.92972,0.76536,1.15949,0.90932,0.81739,0.88111,0.62013,1.00756,0.65384,1.04038,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6138.14,0.92505,0.75325,1.15404,0.9174,0.80186,0.88244,0.62105,1.00803,0.64622,1.044,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6285.09,0.92634,0.7524,1.15441,0.914,0.80212,0.88131,0.62022,1.00769,0.64645,1.04468,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6432.42,0.91957,0.74895,1.14951,0.91283,0.8066,0.88158,0.62197,1.00827,0.64383,1.04295,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6580.61,0.91167,0.74255,1.14078,0.91354,0.80963,0.88295,0.62207,1.00691,0.63916,1.0401,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,146.891,0.90175,0.71399,1.13532,0.91161,0.81731,0.8822,0.62405,1.00607,0.63521,1.04006,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,291.722,0.90006,0.72011,1.1393,0.91738,0.81771,0.88468,0.62554,1.00283,0.63103,1.03847,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,436.885,0.90462,0.71794,1.13997,0.91899,0.81477,0.88487,0.62822,0.99765,0.62844,1.03319,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,584.065,0.89126,0.71557,1.13497,0.92386,0.81645,0.8865,0.62915,0.99686,0.62825,1.03345,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,736.135,0.89753,0.70874,1.13725,0.92965,0.81612,0.8881,0.62949,0.99412,0.62719,1.03356,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,885.225,0.89051,0.70748,1.13276,0.92964,0.81467,0.8869,0.62826,0.99578,0.627,1.03354,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1034.62,0.89386,0.70377,1.13606,0.92815,0.816,0.88733,0.6292,0.99535,0.6242,1.03482,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
